Unnamed: 0,Event,Authors,Title,Abstract,Keywords,Publisher,URL_Paper,Date
143,"



				Início
			
/



				Todas as Edições
			
/



				2025: Anais do XXIV Simpósio Brasileiro de Qualidade de Software
			
/


									Concurso de Teses e Dissertações em Qualidade de Software
						

",Gabriel BusquimPUC-RioMaria Julia LimaPUC-RioMarcos KalinowskiPUC-Rio,On the Interaction between Software Engineers and Data Scientists when Building Machine Learning-Enabled Systems,"Engineering ML-enabled systems presents various challenges from both a theoretical and practical perspective. One of the key challenges is the effective interaction between actors with different backgrounds who need to work closely together, such as software engineers and data scientists. This dissertation involved three studies investigating the current collaboration dynamics between these two roles in ML projects. Our studies revealed several challenges that can hinder collaboration between software engineers and data scientists, including differences in technical expertise and unclear definitions of each role’s duties. Potential solutions to address these challenges include encouraging team communication and producing concise system documentation.","['Machine Learning', 'ML-enabled System', 'Data Science', 'Software Engineering', 'Collaboration']",PDF (English),https://sol.sbc.org.br/index.php/sbqs/article/view/39048/38820,04/11/2025
148,"



				Início
			
/



				Todas as Edições
			
/



				2025: Anais do XXIV Simpósio Brasileiro de Qualidade de Software
			
/


									Concurso de Teses e Dissertações em Qualidade de Software
						

",Luana MartinsUFBAHeitor CostaUFLAFabio PalombaUNISAIvan MachadoUFBA,Smart Prediction for Test Smell Refactorings,"Software plays a critical role in modern society, making software testing essential for ensuring quality. Poor testing practices, known as test smells, reduce test code quality and maintainability. Although refactoring is a widely used technique to address these issues, little is known about when developers choose to refactor test smells and whether these actions actually improve test code quality. This study introduces a machine learning approach to guide test smell refactoring. First, we aim to mine refactorings performed by developers to derive a catalog of test-specific refactorings. Findings show testing framework evolution helps address test smells. Second, we aim to understand whether developers target low-quality test codes to perform refactorings and their effects on code quality. Our findings reveal that developers tend to refactor structurally low-quality test code more often. Third, we aim to learn whether developers would perform refactorings and which refactorings they would apply to improve the test code quality. Results show that Support Vector Machine models predicted refactoring decisions with 30–100% accuracy. This paper is a summary of the full paper version [8] of the doctoral thesis [7].","['Test Refactoring', 'Test Smells', 'Test Code Quality', 'Machine Learning']",PDF (English),https://sol.sbc.org.br/index.php/sbqs/article/view/39045/38817,04/11/2025
150,"



				Início
			
/



				Todas as Edições
			
/



				2025: Anais do XXIV Simpósio Brasileiro de Qualidade de Software
			
/


									Concurso de Teses e Dissertações em Qualidade de Software
						

",Lucas Francisco da Matta VegiUFMGMarco Tulio ValenteUFMG,Code Smells and Refactorings for Elixir,"Elixir is a modern functional programming language that is steadily gaining popularity in the industry. However, there is still limited research on the internal code quality produced using this language. To address this gap, this Ph.D. thesis explores code smells and refactorings specific to Elixir, taking inspiration from Fowler’s classic catalogs. The first two studies employed a mixed-methods approach to identify and catalog 35 code smells (including 23 new ones and 12 commonly known), validated by 181 developers, as well as 82 refactorings (14 of which are novel), validated by 151 developers. The third study mapped relationships between code smells and corresponding refactorings, proposing practical guidelines for their systematic elimination. These findings had a real impact on the community of developers working with the language, contributing both to the prevention of code smells and to supporting the prioritization of refactorings in Elixir development.","['Code smells', 'Refactoring', 'Elixir', 'Functional programming', 'Mining software repositories', 'Grey literature review', 'Systematic literature review']",PDF (English),https://sol.sbc.org.br/index.php/sbqs/article/view/39046/38818,04/11/2025
358,"



				Início
			
/



				Todas as Edições
			
/



				2025: Anais do XXII Encontro Nacional de Inteligência Artificial e Computacional
			
/


									Abertura
						

",Hélida Salles SantosFURGMariana Recamonde-MendozaUFRGS,Prefácio e Organização,Este documento traz o Prefácio e Organização dos Anais do ENIAC 2025.,['No keywords available'],PDF (English),https://sol.sbc.org.br/index.php/eniac/article/view/38701/38474,29/09/2025
441,"



				Início
			
/



				Todas as Edições
			
/



				2025: Anais Estendidos da XXXVIII Conference on Graphics, Patterns and Images
			
/


									Workshop de Teses e Dissertações
						

",João Phillipe CardenutoUNICAMPDaniel MoreiraLoyola University ChicagoAnderson RochaUNICAMP,Strengthening Scientific Integrity: Digital Forensics for Biomedical Research Imaging,"To combat the increasing number of misconduct cases in science, this Ph.D. research addressed the challenge of scientific integrity with a pioneering investigation into digital forensic analysis specifically tailored for biomedical research imaging. This work conducted extensive research into key manipulation types—copy-move forgery, image reuse, and AI-generated content—developing novel, fully explainable, and auditable computational detection methods for each. In a commitment to transparency and to promote research in the area, these techniques are provided as open-source resources. Besides the isolated techniques for each type of image forged, a central contribution is the development of an end-to-end system, created through collaboration with international forensic experts and the U.S. Office of Research Integrity (ORI). This system automates the analysis of scientific publications, starting from PDF documents and ending by identifying figures with potential integrity concerns.",['No keywords available'],PDF (English),https://sol.sbc.org.br/index.php/sibgrapi_estendido/article/view/38268/38042,30/09/2025
442,"



				Início
			
/



				Todas as Edições
			
/



				2025: Anais Estendidos da XXXVIII Conference on Graphics, Patterns and Images
			
/


									Workshop de Teses e Dissertações
						

",Gabriel BertoccoUNICAMPFernanda AndalóUNICAMPAnderson RochaUNICAMP,Self-supervised learning for fully unsupervised re-identification in real-world applications,"Re-Identification (ReID) is vital for real-world applications such as AI-powered security, event understanding, and smart city development. It aims to retrieve all instances of a given person or object across a network of non-overlapping cameras, based solely on visual appearance. It is challenging due to occlusions, viewpoint changes, and background similarities. Supervised methods perform well but rely on costly, biased annotations, limiting scalability. To address this, we propose self-supervised learning algorithms for Unsupervised ReID, extendable to other modalities, like Text Authorship Verification, marked by high intra-class variation and low inter-class distinction. Our work introduces three fully unsupervised ReID methods: one using camera labels, one without side information, and one scalable to larger datasets. We also present a fourth hybrid method for long-range recognition under distortions. These solutions enhance generalization and enable real-world applications in forensics and biometrics. We have released open-source code and demonstrated practical impact, including a consultancy project for the Public Prosecutor’s Office of the State of São Paulo (MPSP), and House of Representatives (Brazilian Federal Chamber and Senate). This research was recognized by the Brazilian Computing Society (SBC) as the best Ph.D. thesis defended in Brazil in 2024.",['No keywords available'],PDF (English),https://sol.sbc.org.br/index.php/sibgrapi_estendido/article/view/38266/38040,30/09/2025
466,"



				Início
			
/



				Todas as Edições
			
/



				2025: Anais Estendidos do XXXI Simpósio Brasileiro de Sistemas Multimídia e Web
			
/


									Concurso de Teses e Dissertações
						

",Francielle VargasUSPThiago PardoUSPFabrício BenevenutoUFMG,Socially Responsible and Explainable Automated Fact-Checking and Hate Speech Detection,"Although Natural Language Processing (NLP) has traditionally relied on inherently interpretable “white-box” techniques, such as rule-based algorithms, decision trees, hidden Markov models, and logistic regression, the adoption of Large Language Models (LLMs) and language embeddings (often considered “black-box”) has significantly reduced interpretability. This lack of transparency introduces considerable risks, including biases, which have become a major concern in the field of Artificial Intelligence (AI). This Ph.D. thesis addresses these critical gaps by proposing new resources that ensure interpretability and fairness in NLP models for automated fact-checking and hate speech detection tasks. Specifically, we introduce five benchmark datasets (HateBR, HateBRXplain, HausaHate, MOL, and FactNews), four novel post-hoc and self-explaining methods (SELFAR, SSA, B+M and SRA), and one web platform (NoHateBrazil) designed to improve the interpretability and fairness of hate speech detection. The proposed models outperform the existing baselines for Portuguese and Hausa, both underrepresented languages. This research contributes to ongoing discussions on responsible and explainable AI, bridging the gap between model performance and interpretability to achieve positive real-world social impact. Finally, this thesis has had a significant impact both nationally and internationally, receiving citations from prestigious universities and research institutes abroad, inspiring new M.Sc. and Ph.D. in Brazil, and being recognized with multiple awards, including the Google LARA, the Maria Carolina Monard AI Award, and as a finalist at the Brazilian Computer Society Thesis and Dissertation Award.","['natural language processing', 'explanability and interpretability', 'social networks and social media', 'misinformation', 'hate speech', 'and online toxicity', 'fairness', 'responsible ai']",PDF (English),https://sol.sbc.org.br/index.php/webmedia_estendido/article/view/38154/37929,10/11/2025
508,"



				Início
			
/



				Todas as Edições
			
/



				2025: Proceedings of the 31st Brazilian Symposium on Multimedia and the Web
			
/


									Abertura
						

",Carlos de Salles Soares NetoUFMAAlessandra Alaniz MacedoUSP,Prefácio e Organização,Este documento traz o Prefácio e a Organização dos Anais do WebMedia 2025.,['No keywords available'],PDF (English),https://sol.sbc.org.br/index.php/webmedia/article/view/37940/37718,10/11/2025
682,"



				Início
			
/



				Todas as Edições
			
/



				2025: Anais do XIX Workshop-Escola de Sistemas de Agentes, seus Ambientes e Aplicações
			
/


									Abertura
						

",Nilson Mori LazarinCEFET/RJBruno Policarpo Toledo FreitasCEFET/RJ,Prefácio e Organização,Este documento traz o Prefácio e a Organização dos Anais do WESAAC 2025.,['No keywords available'],PDF (English),https://sol.sbc.org.br/index.php/wesaac/article/view/37524/37306,29/09/2025
730,"



				Início
			
/



				Todas as Edições
			
/



				2025: Anais do I Workshop em Engenharia de Software para Programação Funcional
			
/


									Abertura
						

",Michel AlbonicoUTFPRAdolfo NetoUTFPRLucas VegiUFVMarco Tulio ValenteUFMG,Front Matter,Este documento traz o front matter dos Anais do SE4FP 2025.,['No keywords available'],PDF (English),https://sol.sbc.org.br/index.php/se4fp/article/view/37099/36884,23/09/2025
